Model,Metric,File1_Average,File2_Average,Count,Average_of_Both,Better
mongodb_rag,bleu,0.05661716897256922,0.051767818169165765,150,0.05419249357086749,0.05661716897256922
mongodb_rag,coherence,4.446666666666666,3.108108108108108,150,3.777387387387387,4.446666666666666
mongodb_rag,completeness,4.413333333333333,2.824324324324324,150,3.6188288288288284,4.413333333333333
mongodb_rag,factual_accuracy,4.48,3.1824324324324325,150,3.8312162162162164,4.48
mongodb_rag,helpfulness,4.3933333333333335,2.7837837837837838,150,3.5885585585585584,4.3933333333333335
mongodb_rag,rouge_l,0.31987432183149606,0.305277984615166,150,0.312576153223331,0.31987432183149606
neo4j_kg_rag,bleu,0.006402662270353044,0.010536706783258395,150,0.008469684526805719,0.010536706783258395
neo4j_kg_rag,coherence,2.506666666666667,3.3175675675675675,150,2.912117117117117,3.3175675675675675
neo4j_kg_rag,completeness,2.433333333333333,2.9662162162162162,150,2.6997747747747747,2.9662162162162162
neo4j_kg_rag,factual_accuracy,2.5933333333333333,3.277027027027027,150,2.93518018018018,3.277027027027027
neo4j_kg_rag,helpfulness,2.4266666666666667,3.0405405405405403,150,2.7336036036036035,3.0405405405405403
neo4j_kg_rag,rouge_l,0.22566520661774883,0.252440781624855,150,0.23905299412130193,0.252440781624855
plain_llm,bleu,0.11578244216479446,0.11075806986806354,150,0.113270256016429,0.11578244216479446
plain_llm,coherence,3.4133333333333336,2.804054054054054,150,3.1086936936936937,3.4133333333333336
plain_llm,completeness,4.133333333333334,2.7567567567567566,150,3.4450450450450454,4.133333333333334
plain_llm,factual_accuracy,4.286666666666667,2.9864864864864864,150,3.6365765765765765,4.286666666666667
plain_llm,helpfulness,4.066666666666666,2.675675675675676,150,3.371171171171171,4.066666666666666
plain_llm,rouge_l,0.36163559048900207,0.3555575338621151,150,0.3585965621755586,0.36163559048900207
